

1,1,False,{'student_idx': 0, 'question_idx': 1, 'student_skills': array([-5.0017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},0

1,1,False,{'student_idx': 0, 'question_idx': 2, 'student_skills': array([-5.0017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},3

1,1,False,{'student_idx': 0, 'question_idx': 3, 'student_skills': array([-5.0017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},15

1,1,False,{'student_idx': 0, 'question_idx': 4, 'student_skills': array([-5.0017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},7

1,1,False,{'student_idx': 0, 'question_idx': 5, 'student_skills': array([-5.0017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},14

1,1,False,{'student_idx': 0, 'question_idx': 6, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},0

1,1,False,{'student_idx': 0, 'question_idx': 7, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},6

1,1,False,{'student_idx': 0, 'question_idx': 8, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},11

1,1,False,{'student_idx': 0, 'question_idx': 9, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},5

0,0,False,{'student_idx': 0, 'question_idx': 10, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},17

1,1,False,{'student_idx': 0, 'question_idx': 11, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},11

0,0,False,{'student_idx': 0, 'question_idx': 12, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},18

1,1,False,{'student_idx': 0, 'question_idx': 13, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},2

1,1,False,{'student_idx': 0, 'question_idx': 14, 'student_skills': array([-4.8017801 , -7.36320617, -8.36096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},3

1,1,False,{'student_idx': 0, 'question_idx': 15, 'student_skills': array([-4.8017801 , -7.36320617, -8.16096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},8

1,1,False,{'student_idx': 0, 'question_idx': 16, 'student_skills': array([-4.8017801 , -7.36320617, -8.16096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},17

1,1,False,{'student_idx': 0, 'question_idx': 17, 'student_skills': array([-4.8017801 , -7.36320617, -8.16096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},14

1,1,False,{'student_idx': 0, 'question_idx': 18, 'student_skills': array([-4.8017801 , -7.36320617, -8.16096319, -7.24201132, -7.12943233]), 'student_learner_style': array([1., 0., 0., 0.])},14

